,id,title,author,authoryearofbirth,avg_speed,normalized_volume,cirtuitous,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,log_N_tokens,log_downloads
0,PG10021,Tenterhooks,"Leverson, Ada",1862.0,0.07822821,0.6117405543081426,15.71266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.120889777173725,4.0943445622221
1,PG10025,Gaslight Sonatas,"Hurst, Fannie",1889.0,0.087939546,0.6307158554406619,19.737646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.409729272141778,3.80666248977032
2,PG10037,A Beautiful Possibility,"Black, Edith Ferguson",1857.0,0.08530875,0.6602682637705564,24.41992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.314401352837574,3.6375861597263857
3,PG10046,Salute to Adventurers,"Buchan, John",1875.0,0.082234286,0.7825095595716978,14.388686,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.626218435353747,4.02535169073515
4,PG10057,The Secret of the Tower,"Hope, Anthony",1863.0,0.06860502,0.5063317488729363,12.2723255,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.073101804225626,4.276666119016055
5,PG10059,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856.0,0.08075694,0.6497982400700136,9.709782,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11.023225122819186,4.127134385045092
6,PG10066,Gunman's Reckoning,"Brand, Max",1892.0,0.07436942,0.6796559430008516,22.686184,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.493355210673352,5.525452939131784
7,PG10067,The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",1872.0,0.08389544,0.708087161654671,15.661372,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.37938264370897,4.77912349311153
8,PG10068,The Power and the Glory,"Cooke, Grace MacGowan",1863.0,0.07512046,0.7595936281405034,20.421507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.641301089434403,5.0238805208462765
9,PG10076,Lister's Great Adventure,"Bindloss, Harold",1866.0,0.079406045,0.639491910760036,25.948082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.459577429468304,3.8501476017100575
10,PG10081,"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History","Hayes, Clair W. (Clair Wallace)",1887.0,0.084917694,0.5568354165236009,11.957839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.067809551232273,3.8918202981106265
